file_path,date,title,category,tags,description,lastmod,characters,summary
2025-10-31-vincent-when-you-dont-see-me.md,2025-10-31,Vincent: When You Don't See Me,tce,"tce-vincent, tce, fpmc-retrospective","The man titled by some the Prince of Elysion is more than just the odd man out. He does not belong here, and yet, perhaps none are so human as he.",2025-10-31 21:05,,
2025-07-16-the-fauntleroy-legacy.md,2025-07-16,The Fauntleroy Legacy,tce,"tce-cedric, tce","It is little Cedric, with his bright outlook and optimism, that endures as the best personification of what a young person can be, and his crowning achievement is convincing the Earl of Dorincourt to change his ways.",2025-07-16 14:44,,
2025-06-23-a-persistent-pov.md,2025-06-23,A Persistent POV,tce,"fpmc-retrospective, writing-journey, tce",I am not sure I struggled at all with the first question. This was always Cedric's story.,2025-06-23 10:46,,
2025-06-15-new-beginnings-clear-creative-path.md,2025-06-15,New Beginnings: Eyes on the Path Ahead,blog,"website-update, writing-journey, tce, announcement","After years of writing in different directions, I am ready to commit to a clear creative path and have reorganized this site to reflect that focus.",2025-08-25 12:23,,
fpmc-act-08/2025-01-23-kevin-windfall.md,2025-01-23 20:26,KEVIN 041: Windfall,femputermanchine,"skit, fpmcmain-kevin, act-viii",in which Straud talks to Tomas about the future,2025-02-12 21:19,"Kevin, Myrtle, Vincent, Cedric, Miriam, Jia, Straud, Tomas","Kevin talks with his parents about Skittles and Kix; the coterie speaks with Tomas at the B.V."
fpmc-act-08/2025-01-19-roxxie-lifelongLearning.md,2025-01-22 20:59,ROXXIE 007: Lifelong Learning,femputermanchine,"skit, fpmcmain-roxxie, act-viii",in which Roxanne takes on a new responsibility,2025-01-23 22:55,,
fpmc-act-08/2025-01-14-avael-oxytocin.md,2025-01-14 23:59,AVAEL 019: Oxytocin,femputermanchine,"skit, fpmcmain-avael, act-viii",in which the femBot avoids Newtown Creek,2025-01-17 09:17,,
fpmc-act-08/2025-01-05-vatore-hauteCuisine.md,2025-01-05 21:53,VATORE 014: Haute Cuisine,femputermanchine,"skit, fpmcmain-vatore, act-viii",in which Caleb and Trente entertain a guest,2025-01-12 20:57,,
fpmc-act-08/2025-01-01-straud-houndstooth.md,2025-01-01 00:00,STRAUD 036: Houndstooth,femputermanchine,"skit, fpmcmain-straud, act-viii",in which the Mansion is leveled,2025-01-05 11:56,,
fpmc-act-08/2024-12-19-cedric-potence.md,2024-12-19 23:07,CEDRIC 042: Potence,femputermanchine,"skit, fpmcmain-cedric, act-viii",in which Cedric jumps off a bridge,2024-12-24 13:56,,
fpmc-act-08/2024-12-16-kevin-shadowOfADoubt.md,2024-12-16 21:42,KEVIN 040: Shadow of a Doubt,femputermanchine,"skit, fpmcmain-kevin, act-viii",in which AVAEL airs her grievances,2024-12-21 10:51,,
fpmc-act-08/2024-12-10-mandarc-rocketScience.md,2024-12-10 21:45,MANDARC 023: Rocket Science,femputermanchine,"skit, fpmcmain-mandarc, act-viii",in which the Islander is chided,2024-12-15 21:25,,
fpmc-act-08/2024-11-17-perkins-aStitchInTime.md,2024-11-17 23:59,PERKINS 010: A Stitch In Time,femputermanchine,"skit, fpmcmain-perkins, act-viii",in which Perkins mourns,2024-11-25 17:13,,
ds-pt-02/2024-04-15-episode-0011.md,2024-04-15 21:12,Episode 11,darkshadows,"darkshadows-episodereview, pt-ii",Burke assures Elizabeth he has not returned to cause trouble but he inquires about buying Collinwood.,2024-04-21 20:41,,
ds-pt-02/2024-04-13-episode-0010.md,2024-04-13 21:10,Episode 10,darkshadows,"darkshadows-episodereview, pt-ii",Roger insists that David should be sent away. Burke deceives Carolyn on why he returned.,2024-04-14 21:05,,
